5000 24132
85 3036 1
85 3872 3
85 4908 1
85 4958 1
86 1248 1
86 2753 1
86 3303 3
86 3333 2
86 3808 1
87 368 1
87 1648 2
87 1746 4
87 2133 1
87 2567 2
87 2890 1
87 3046 1
87 3788 1
87 4500 2
87 4529 1
87 4754 13
88 1249 9
88 1990 1
88 3303 7
88 4797 1
89 253 1
89 363 1
89 2497 37
89 3033 1
90 1152 3
90 2686 4
90 3996 3
90 4125 1
90 4892 1
91 436 1
91 460 3
91 975 2
91 2460 6
91 3414 5
91 3729 1
91 3921 1
91 4157 1
91 4188 1
92 28 1
92 1304 1
92 1748 2
92 2556 1
92 3027 1
92 3050 1
92 3902 1
93 428 1
93 1039 1
93 1043 1
93 1403 2
93 2002 7
93 2697 3
93 3699 1
93 4794 5
94 681 4
94 1159 2
94 2647 4
94 3538 1
94 4500 5
95 151 1
95 1127 6
95 1692 2
95 2134 1
95 2215 1
95 2535 1
95 4339 4
96 49 2
96 343 2
96 504 2
96 629 1
96 964 3
96 1429 1
96 3285 2
97 238 1
97 1335 1
97 1949 9
97 2900 1
97 2971 5
97 3177 3
98 289 1
98 367 2
98 795 2
98 2292 3
98 2988 3
99 340 1
99 743 1
99 1682 3
99 2829 1
99 3144 6
99 3390 2
99 3541 6
100 360 3
100 569 1
100 1042 1
100 2261 1
100 3826 1
100 4232 1
101 1761 1
101 3023 2
101 4117 3
102 81 1
102 1309 1
103 425 1
103 3190 4
103 3996 1
104 1367 2
104 4234 1
104 4677 1
105 690 5
105 1057 1
105 1626 5
105 3168 1
105 3205 1
105 4524 1
105 4614 1
106 100 1
106 358 1
106 1312 6
106 2386 8
107 578 2
107 1552 1
107 2726 1
107 3529 1
107 4346 1
107 4916 3
107 4994 2
108 1970 2
108 2290 1
108 2647 17
108 3946 1
108 4051 1
108 4080 2
108 4631 1
109 857 2
109 1312 4
109 3593 1
109 3627 1
110 90 4
110 1189 3
110 1355 1
110 1886 1
110 2274 3
110 3355 26
110 3512 1
110 3969 1
110 4214 4
110 4412 1
110 4479 2
110 4610 10
111 433 1
111 1620 1
111 2641 2
111 3987 1
112 2888 5
112 3338 1
112 4566 1
113 417 3
113 606 1
113 1856 1
113 2284 1
113 2770 3
114 237 4
114 849 1
114 2260 5
115 217 1
115 2205 2
115 3059 6
116 783 1
116 873 1
116 1873 1
116 2637 7
116 3458 2
116 3518 2
116 4945 4
117 483 1
117 1607 1
117 4289 1
118 478 3
118 729 3
118 2757 2
118 4314 1
118 4471 3
119 1100 5
119 3459 1
120 3025 2
120 3618 18
120 4438 1
121 1233 1
121 1388 2
121 3074 1
121 3157 2
122 270 3
122 358 4
122 3493 3
122 3681 1
123 569 1
123 699 1
123 1839 1
123 3417 6
124 2622 4
124 3363 1
124 3794 1
125 1431 1
125 2462 1
125 3173 2
125 4847 1
126 57 1
126 791 1
126 1682 1
126 4292 1
126 4390 3
127 115 1
127 1157 1
127 1491 3
127 1521 1
127 1947 3
127 3574 2
128 21 1
128 2951 1
128 4231 1
129 537 1
129 3740 1
130 54 1
130 325 14
130 1081 1
130 4030 1
130 4098 5
131 1139 3
131 1796 1
131 2231 1
131 2516 3
131 3002 3
131 3516 6
132 379 1
132 404 2
132 2338 1
132 3970 1
132 4021 3
132 4218 13
132 4580 3
132 4812 1
132 4862 1
132 4977 4
133 1536 14
133 2685 1
133 4904 1
134 3483 1
134 4176 2
134 4207 3
135 3499 1
135 4744 1
135 4759 1
135 4857 1
136 49 1
136 105 3
136 127 1
136 236 2
136 563 1
136 2560 1
136 2818 1
136 3950 5
136 4911 3
137 1244 1
138 1805 1
138 3711 1
138 4934 1
139 2375 1
139 3291 1
139 3589 1
139 3614 5
139 3955 2
140 3768 1
140 3993 12
140 4918 1
141 1717 2
141 1882 1
141 1982 4
141 2805 1
141 4822 3
142 126 16
142 1486 4
142 1574 1
142 1593 6
142 3093 2
142 4030 2
143 253 3
143 543 18
143 2814 1
143 3074 1
143 3179 5
143 4713 1
144 775 2
144 3377 1
144 4762 1
145 294 3
145 710 7
145 1732 4
145 2088 1
145 2919 1
146 235 2
146 346 2
146 1017 1
147 153 1
147 691 4
147 925 3
147 1137 1
147 1328 3
147 2573 1
147 3943 1
148 1710 7
148 4018 1
148 4291 5
150 55 3
150 1836 18
150 1963 3
150 2090 5
150 2217 1
150 3130 1
150 3858 4
150 4904 2
151 2661 1
151 3073 1
151 3571 2
151 4633 3
151 4685 3
151 4789 3
152 1503 2
152 1851 1
152 2604 2
152 2868 5
152 4250 2
152 4805 3
153 226 1
153 967 1
153 1120 1
153 2195 1
153 2949 1
153 4006 1
153 4485 1
153 4639 6
154 596 1
154 865 1
154 1763 2
154 2677 8
154 3981 1
155 2560 1
155 2770 4
155 2955 3
155 3518 1
155 4036 2
156 196 1
156 1342 3
156 2532 2
156 4211 1
157 2321 1
157 2379 2
157 3270 4
157 4172 1
157 4234 1
157 4427 4
157 4984 1
158 72 1
158 2040 1
158 2283 1
159 347 2
159 573 5
159 830 1
159 1059 1
159 1063 12
159 1950 2
159 2030 1
159 2398 6
159 2522 1
159 3714 4
160 82 1
160 1232 2
160 1924 1
160 2954 1
160 4047 1
160 4204 3
160 4435 3
161 443 2
161 486 8
161 1898 1
162 262 1
162 640 1
162 1041 2
162 1272 1
162 1723 4
162 3324 1
162 4159 12
162 4262 1
162 4278 1
162 4683 7
162 4848 3
163 821 1
163 2335 1
163 2457 5
163 4122 6
163 4154 1
164 218 3
164 269 1
164 1171 3
164 1776 1
164 2747 12
164 4365 2
165 907 7
165 1703 2
165 3701 1
165 3959 1
165 4653 10
165 4933 1
166 334 1
166 797 1
166 1308 1
166 1728 18
166 2084 11
166 2806 2
166 3720 3
167 991 4
167 1376 6
167 2698 1
167 3898 1
168 1052 1
168 2715 7
169 171 1
169 1559 1
169 2506 1
169 3189 1
169 4010 5
170 1539 2
170 3109 1
170 3224 2
170 4016 1
171 0 1
171 3109 1
171 3378 1
172 53 3
172 81 3
172 989 8
172 1338 8
172 4114 3
173 4426 2
174 147 1
174 223 1
174 1532 4
174 1787 1
174 2231 2
174 3067 3
175 1281 2
175 2122 1
175 3875 7
176 4850 14
177 179 1
177 1590 1
177 2254 2
178 350 1
178 1131 2
179 720 1
179 1081 2
179 1494 1
179 2857 1
179 3813 1
179 4181 1
179 4603 3
180 181 1
180 2433 4
180 2487 1
180 2982 1
180 4415 1
181 404 2
181 3722 6
181 3825 3
181 4296 5
182 32 3
182 297 1
182 551 5
182 1892 4
182 4134 5
183 415 2
183 2057 1
183 3181 1
183 3506 1
184 595 1
184 1962 6
184 2297 3
184 4708 5
184 4999 2
185 154 1
185 776 2
185 1309 1
185 2483 2
185 2587 1
185 3977 2
186 21 4
186 3382 2
186 3563 1
186 3860 1
186 4266 1
186 4932 2
187 3682 1
187 4211 1
188 930 9
188 990 4
188 2314 1
188 2685 1
188 4086 3
188 4285 1
188 4583 1
189 820 1
189 1476 1
189 1892 1
189 4116 3
190 528 2
190 2490 6
190 2525 4
190 3839 1
191 1136 4
191 1360 3
191 4618 3
192 337 1
192 928 8
192 1582 2
192 1621 2
192 2643 1
192 4310 1
193 888 1
193 2955 1
193 4225 2
194 1815 6
194 4570 1
195 8 1
195 853 1
195 1783 1
195 2350 1
195 2722 3
195 3437 1
196 1269 25
196 1651 1
196 2071 2
196 3657 2
196 3827 2
196 4097 1
196 4126 1
197 528 1
197 639 1
197 910 1
197 1610 2
197 1888 1
197 3149 1
197 3398 1
198 199 1
198 1931 4
198 2393 7
198 3577 1
198 3890 6
198 3976 3
198 4552 1
199 99 3
199 657 6
199 1087 1
199 3566 1
199 3777 1
200 952 1
200 2017 2
200 2641 1
201 1298 4
201 2735 3
201 4368 1
202 805 1
202 1776 1
202 3184 14
202 3195 3
203 266 14
203 3428 5
203 3954 3
204 308 2
204 774 1
204 2197 3
204 2278 1
204 2528 1
204 2555 1
204 4593 1
204 4672 1
205 0 2
205 997 1
205 1445 2
205 2325 1
205 3283 1
205 3412 8
206 421 1
206 1127 14
206 3382 1
206 4334 1
206 4693 2
207 2334 1
207 2439 3
207 2957 1
207 3159 2
207 3421 4
207 4985 1
208 1354 1
208 1761 2
208 3762 1
209 1541 5
209 2972 1
210 1850 2
210 1852 1
210 2716 4
210 3662 5
211 399 2
211 482 1
212 154 1
212 1173 1
212 1217 1
212 4015 1
213 37 3
213 1364 6
213 1506 1
213 2491 1
213 3172 6
213 3263 2
213 4790 1
213 4851 12
214 871 7
214 1987 2
214 2280 1
214 3537 2
214 3828 1
214 3859 4
215 856 15
215 1590 2
215 3341 29
215 3970 1
216 352 2
216 511 1
216 2665 5
216 3069 1
217 2361 2
217 3083 2
217 4517 9
218 1351 1
218 4112 1
218 4300 2
219 1032 1
219 1104 4
219 1489 2
219 1506 6
219 1638 4
219 4154 12
219 4364 4
219 4667 10
220 1141 3
220 3412 1
220 3679 1
220 4875 2
221 636 1
221 1170 4
221 1956 1
221 2538 1
221 4969 1
222 1649 3
222 1814 1
222 2760 2
222 2844 1
223 152 12
223 183 2
223 1039 1
223 1535 1
223 1969 4
223 2326 2
223 2621 1
223 3886 1
223 4314 1
223 4465 1
224 1790 4
224 2289 4
224 4393 3
225 109 1
225 735 7
225 4264 1
225 4631 2
225 4673 3
226 1833 1
226 1877 1
226 3198 12
226 4295 4
226 4313 1
226 4355 1
226 4548 5
226 4949 1
227 155 1
227 2793 1
228 358 1
228 960 1
228 2933 1
228 3156 1
228 3171 4
228 3286 1
228 3468 1
228 3823 4
229 140 1
229 677 4
229 2181 5
229 3245 1
230 50 1
230 323 2
230 1075 1
230 2761 1
230 3990 2
230 4100 1
230 4954 5
231 2042 37
231 3364 1
232 624 5
232 844 1
232 1238 10
232 1289 1
232 1551 1
232 2659 2
232 3469 7
232 3919 1
233 383 1
233 4976 1
234 19 1
234 1343 1
234 3133 4
234 4304 4
235 981 2
235 1956 1
235 2475 1
235 3666 1
236 192 6
236 1729 1
236 1912 1
236 3011 11
236 3967 5
237 2 5
237 902 3
237 1868 1
237 3131 6
237 3174 3
237 4207 2
238 216 1
238 487 4
238 1183 5
238 2377 4
238 4718 2
239 62 4
239 1125 12
239 1797 5
239 2472 1
239 3933 1
239 3957 1
239 4573 1
240 393 1
240 474 3
240 948 1
240 1726 3
240 1980 1
240 2496 1
240 3141 2
240 3153 1
240 3418 2
240 3485 2
241 30 1
241 2305 1
241 4029 1
242 1424 1
242 1898 5
242 2160 3
242 4559 3
242 4562 1
243 1641 6
243 2719 1
243 3010 3
243 3902 11
243 4280 3
244 2583 2
244 2726 1
244 3480 1
244 3708 1
244 3789 1
244 4140 2
245 938 4
245 2723 5
246 431 1
246 710 4
246 905 2
246 2493 2
246 2557 1
246 4220 5
247 2690 1
247 3270 1
247 3638 3
247 4391 1
247 4421 9
247 4613 8
248 1180 1
248 2667 1
248 2671 1
248 2829 2
249 2088 1
249 2386 1
249 3024 12
249 3743 2
249 3899 5
249 4095 4
249 4154 1
250 30 1
250 569 2
250 710 4
250 2373 1
250 2587 2
250 3232 7
250 3433 1
250 4663 1
250 4969 1
251 94 1
251 2279 3
251 4649 1
252 1499 1
252 2339 9
252 2351 1
252 2464 1
253 186 2
253 1349 1
253 1742 9
253 2086 1
253 2330 1
253 2515 1
253 4915 1
254 11 1
254 634 1
254 3881 1
254 4133 1
254 4387 1
255 1773 1
255 2722 4
255 3287 2
256 1519 4
256 1742 1
256 4643 1
257 139 1
257 244 1
257 354 4
257 1259 1
257 2063 1
257 3124 1
258 1353 2
258 1712 1
258 2418 8
259 269 2
259 404 3
259 1799 1
259 2733 3
259 2734 2
259 3705 6
260 4819 5
261 435 1
261 1087 1
261 4315 2
262 669 1
262 853 13
263 562 1
263 1487 3
263 1837 2
263 2450 1
263 3089 1
263 3610 4
263 4802 4
264 205 4
264 960 1
265 821 1
265 1522 1
265 1704 1
265 1892 1
265 1911 1
265 2557 1
265 3403 1
265 3816 2
265 4829 4
266 361 3
266 1528 1
266 1579 1
266 2443 1
266 3605 28
267 2700 2
267 3378 1
267 4045 1
267 4447 4
268 353 5
268 551 1
268 1386 7
268 2589 1
268 3787 15
268 4882 9
268 4899 3
269 1948 2
269 4426 2
269 4794 2
270 2107 1
270 3036 2
270 3506 1
271 417 1
271 921 6
271 1092 1
271 3480 1
271 3820 10
271 4166 1
271 4664 16
272 994 1
272 1354 1
273 1317 2
273 2933 3
273 3437 1
273 4123 7
273 4484 1
274 1312 7
274 3931 1
275 165 1
275 1608 7
275 1709 2
275 4017 4
275 4156 1
276 559 1
276 1171 3
276 1295 1
276 1745 1
276 2069 3
276 2422 16
276 2995 1
276 3569 8
276 4801 1
277 172 2
277 340 3
277 676 1
277 1527 1
277 1571 1
277 1652 4
277 1743 2
277 3091 2
277 3925 2
277 4089 1
278 812 1
278 3566 6
278 3878 2
279 3050 6
280 196 2
280 2124 1
280 3333 2
280 4213 2
281 186 5
281 3370 5
281 3499 1
282 115 1
282 568 1
282 1794 1
283 1141 8
283 4342 2
284 1202 1
284 1513 1
284 1631 4
284 2437 4
284 2639 4
284 3198 5
284 3590 1
284 4263 2
284 4939 1
285 128 2
285 1804 1
285 3257 1
285 4571 2
287 495 1
287 1225 1
287 1421 1
287 2346 1
287 2540 23
287 3138 2
287 3972 8
287 4683 3
288 634 1
288 725 23
288 2226 1
288 4158 2
289 356 1
289 952 2
289 2645 1
290 472 1
290 883 7
290 2603 1
290 2661 1
290 3111 2
290 3339 1
290 3446 1
291 216 7
291 344 1
291 825 1
291 2339 2
291 2542 1
291 4174 2
292 596 5
292 1267 1
292 2330 1
292 4294 1
293 519 1
293 757 1
293 2013 3
293 3860 3
294 279 2
294 1876 1
294 1990 6
294 2832 4
294 3292 7
294 3953 15
294 4650 6
295 635 1
296 570 15
296 1107 4
296 1598 4
296 2540 1
296 2741 1
296 4295 1
296 4584 13
296 4937 1
296 4976 5
297 83 1
297 801 4
297 4492 3
297 4800 1
298 609 1
298 735 6
298 1440 5
298 1496 1
298 2763 5
298 2939 2
299 164 1
299 1304 1
299 2251 1
299 2606 2
299 4523 2
299 4873 1
300 1339 3
300 1704 6
300 1986 1
300 2530 3
300 2751 5
300 3165 16
300 4349 1
301 625 1
301 1079 4
301 2547 1
301 3302 1
301 4591 1
302 2131 1
302 2407 1
302 3484 1
302 4561 1
303 494 2
303 528 3
303 1931 3
303 3427 2
303 4053 1
303 4819 1
303 4919 1
304 187 1
304 1123 1
304 2543 4
304 2581 2
304 3768 1
305 1320 3
305 1988 1
305 2394 1
305 2438 1
305 2639 1
305 4098 1
305 4486 1
305 4643 2
305 4680 1
306 1463 1
306 3018 3
306 3752 1
306 4098 1
306 4695 1
307 1505 2
307 3179 1
307 4010 1
308 1066 2
308 1142 1
308 3098 1
309 1472 1
309 1966 1
309 2853 1
309 4425 1
309 4797 3
309 4978 2
310 516 4
310 1086 3
310 1748 1
310 2272 6
310 4547 5
311 159 1
311 1900 4
311 2553 2
311 4877 1
311 4912 2
312 951 1
312 1197 2
312 2035 1
312 2932 1
312 3003 1
313 49 2
313 3107 2
313 3498 1
313 3861 3
313 4154 1
314 3 1
314 325 1
314 1784 2
314 2334 1
314 2906 5
315 115 9
315 381 25
315 1014 5
315 1560 1
315 1763 1
315 1797 2
315 3633 1
315 4428 2
316 97 1
316 185 1
316 897 4
316 2100 1
316 2408 5
317 879 1
317 1313 1
317 2634 3
317 2914 4
317 3329 2
317 3349 1
317 3585 1
317 4316 1
318 1616 1
318 1626 7
318 1629 6
318 2765 18
318 2892 3
318 2930 10
318 3775 1
318 4569 3
318 4986 1
319 1366 6
319 1515 1
319 2395 1
319 2409 3
319 2833 1
319 4752 3
320 26 1
320 1062 3
320 2300 3
320 2776 1
320 3786 1
320 3847 2
320 4428 1
320 4613 1
321 100 1
321 629 1
321 763 1
321 1508 15
321 3397 3
322 775 2
322 1982 3
322 4416 1
323 3320 2
323 3540 1
323 4544 2
324 1518 4
324 3826 1
325 1546 2
325 1794 1
325 1908 1
325 2134 2
325 2565 7
325 3062 14
325 4499 2
325 4853 1
326 869 1
326 1534 1
326 2686 3
326 3432 1
326 3596 3
326 3834 1
326 3842 1
326 4303 2
326 4807 1
326 4810 1
327 815 5
327 1382 2
327 2324 2
327 2984 1
327 3696 22
327 4465 2
328 4451 2
328 4716 2
329 361 4
329 861 4
329 3037 2
329 4187 1
329 4343 1
330 602 1
330 981 8
331 360 3
331 1628 5
331 2135 9
331 2924 1
331 3293 2
331 3620 1
331 3879 2
331 3941 2
331 4088 2
332 2708 3
332 3162 3
333 1942 9
333 3870 1
334 1996 1
334 2466 4
334 2811 3
334 4163 1
335 950 10
335 1234 4
335 1487 3
335 2290 4
335 2515 1
335 3332 1
335 3500 1
336 213 1
336 339 1
336 1633 1
336 2293 8
336 2494 1
336 2854 1
336 2880 2
336 3693 3
337 444 2
337 1382 1
337 1475 3
338 323 1
338 751 1
338 3738 2
339 873 4
339 1465 7
339 1951 2
339 3681 1
339 4168 1
339 4811 6
340 4683 4
340 4813 1
341 14 1
341 464 2
341 769 7
341 2499 2
341 3072 1
341 3346 2
341 3977 1
341 4107 1
341 4535 2
342 740 2
342 2623 2
342 3391 1
342 3411 2
343 1620 1
343 2057 1
343 2836 1
343 3281 4
343 3439 2
343 3793 2
343 4587 2
344 114 1
344 2371 1
344 3371 1
344 3418 1
345 596 3
345 3534 7
345 3567 7
345 4764 1
345 4883 4
346 800 7
346 4697 3
347 335 5
347 490 1
347 1067 2
347 2433 1
347 3674 1
348 292 1
348 523 1
348 529 1
348 949 1
348 1690 1
348 2132 6
348 2457 1
348 3147 6
349 1422 1
349 2140 1
349 2335 1
349 2349 3
349 2629 2
350 339 4
350 1766 5
350 1968 1
350 2025 1
350 2255 1
350 3043 1
351 220 1
351 936 5
351 1287 1
351 1653 2
351 2052 2
351 2957 2
351 2983 1
351 3260 1
351 4204 6
351 4540 1
352 1997 2
352 3721 5
352 4826 3
353 169 1
353 2127 1
353 2205 1
353 2728 1
353 3878 4
354 1520 3
354 2227 1
354 2798 1
354 2883 1
354 3660 1
354 4170 2
354 4221 1
354 4563 4
355 2267 3
355 3223 2
355 3616 2
356 382 7
356 511 2
356 2035 2
356 4292 7
357 1768 6
357 1862 1
357 2553 2
357 2563 2
357 3608 2
358 4895 1
359 1009 3
359 1198 4
359 1254 2
359 2173 2
359 2376 9
359 2660 1
359 4503 2
359 4673 8
359 4887 2
359 4968 1
360 3481 10
360 4057 2
361 1929 1
361 1942 1
361 3044 1
361 3823 3
361 4396 1
362 1855 1
362 2280 1
362 3012 1
362 4209 1
363 2366 3
363 3134 1
363 3759 7
363 4747 8
363 4854 2
364 1281 5
364 1742 1
364 1973 1
365 1638 1
365 1899 2
365 2958 2
365 3171 1
365 3413 1
365 4401 2
365 4422 1
366 1484 1
366 2755 1
367 661 1
367 1071 2
367 2603 1
367 3780 1
367 3923 1
367 4090 1
368 1952 3
368 2000 5
368 3000 1
368 3320 1
368 4942 1
369 12 8
369 358 1
369 504 1
369 2525 7
369 2894 1
369 3807 10
369 4759 5
370 158 2
370 1090 4
370 4117 1
370 4636 1
371 2626 4
371 4560 1
372 614 1
372 1620 1
372 1937 2
372 2973 1
372 3421 1
372 3748 1
372 3865 3
372 4409 1
373 400 6
373 1832 2
373 3863 1
374 2458 1
374 2786 2
374 3004 1
374 4833 1
375 1127 3
375 1356 1
375 1368 1
375 4410 1
376 1128 4
376 1631 3
376 4569 1
377 10 6
377 374 3
377 2458 3
377 3341 5
377 3446 1
377 3605 1
377 4901 1
378 732 1
378 926 1
378 1867 2
378 2490 1
378 3165 1
378 3989 4
379 699 2
379 1238 1
379 2000 3
379 3705 1
379 4562 4
380 457 1
380 2348 1
380 3832 1
381 17 1
381 569 1
381 1169 1
381 2497 2
381 2538 1
381 3461 2
381 4128 3
381 4807 5
382 18 2
382 139 7
382 2470 17
382 3585 1
383 392 1
383 1280 3
383 1754 4
383 2533 5
383 3542 4
384 550 1
384 743 1
384 1707 2
384 3021 2
384 4400 4
385 140 2
385 190 2
385 647 1
385 1485 3
385 1788 4
385 3720 1
385 4634 2
386 325 8
386 461 3
386 1983 3
387 1630 1
387 1694 2
387 3142 1
387 4191 1
388 63 2
388 520 1
388 3320 1
389 538 1
389 1554 1
389 2142 2
390 930 4
390 1492 1
390 3422 1
391 34 1
391 1708 1
391 2308 7
391 2685 1
391 2802 1
391 3094 1
391 3644 1
391 4780 5
392 1087 4
392 1522 2
392 1784 2
392 1925 1
392 4545 2
393 296 2
393 840 3
393 1157 5
393 1530 2
393 1735 1
393 3548 2
393 3602 1
393 3986 12
393 4049 11
393 4492 1
394 512 1
394 1956 6
394 2051 1
394 2589 1
394 2654 1
394 3448 1
395 1088 1
395 1576 1
395 2337 1
395 2428 1
395 2557 1
395 2797 12
395 3482 1
395 4872 1
396 139 1
396 220 1
396 282 1
396 523 5
396 2005 2
396 3014 1
396 3694 5
396 4782 1
397 15 8
397 236 1
397 2869 1
398 353 2
398 754 4
398 1350 5
398 1417 2
398 1884 1
398 2724 1
398 4299 5
399 164 2
399 292 1
399 1023 4
399 1158 1
399 2242 1
399 2710 8
399 3236 1
399 4641 1
400 2111 4
400 2721 1
401 916 1
401 1147 8
401 1260 5
401 1410 2
401 2569 1
401 2790 1
401 2902 2
401 4955 14
402 1089 6
402 1439 2
402 2781 2
402 3017 8
402 3958 1
403 375 1
403 2806 1
403 4901 1
404 3978 1
404 4511 1
404 4674 10
405 265 6
405 2161 14
405 2377 1
405 2669 1
405 2833 1
405 2976 9
405 3566 8
405 4134 2
406 127 9
406 1906 1
406 2697 3
406 2999 5
406 4536 1
407 1839 1
407 3316 5
407 4260 3
408 567 10
408 767 2
408 2570 1
408 2986 5
408 3008 1
408 3486 1
409 37 2
409 136 1
409 435 2
409 1277 1
409 1966 1
409 3693 1
409 4946 1
410 212 1
410 367 1
410 1095 5
410 1117 1
410 2096 1
410 3934 10
410 4540 1
410 4719 1
411 631 1
411 3674 5
411 3950 1
412 2208 4
412 3630 8
412 3802 2
413 525 1
413 1161 1
413 2676 1
413 2851 1
413 4242 1
413 4447 3
413 4690 1
414 2934 1
414 4169 7
414 4795 1
415 563 1
415 1135 8
415 2351 4
415 4931 1
416 900 1
416 1180 4
416 1320 1
416 1688 1
416 1974 6
416 2297 1
416 2996 1
416 3401 1
416 3861 1
417 3069 2
417 3428 1
417 4114 2
